dataset,method_key,method,measure,value
trec-covid,cosine_int8,cos_int8,P@10,0.9259999999999999
trec-covid,cosine_int8,cos_int8,nDCG@10,0.8954173228988315
trec-covid,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.41183157965043177
trec-covid,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.99
trec-covid,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.9159999999999999
trec-covid,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.8850219450708319
trec-covid,cosine_float,cos_float,AP,0.4119644946495147
trec-covid,cosine_float,cos_float,RR,0.99
trec-covid,cosine_float,cos_float,P@10,0.9159999999999999
trec-covid,cosine_float,cos_float,nDCG@10,0.8850219450708319
trec-covid,hybrid_hamming,RRF(Hamming),AP,0.3577880532717303
trec-covid,hybrid_hamming,RRF(Hamming),RR,0.9766666666666667
trec-covid,hybrid_hamming,RRF(Hamming),P@10,0.882
trec-covid,hybrid_hamming,RRF(Hamming),nDCG@10,0.8471671165564413
trec-covid,hybrid_cosine_int8,RRF(cos_int8),AP,0.36692822213112214
trec-covid,hybrid_cosine_int8,RRF(cos_int8),RR,0.97
trec-covid,hybrid_cosine_int8,RRF(cos_int8),P@10,0.8900000000000001
trec-covid,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.8526250886104093
trec-covid,hybrid_cosine_float,RRF(cos_float),AP,0.3660297491440499
trec-covid,hybrid_cosine_float,RRF(cos_float),RR,0.9666666666666667
trec-covid,hybrid_cosine_float,RRF(cos_float),P@10,0.89
trec-covid,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.8504002960931423
trec-covid,baseline,MTEB (Qwen3-8B),AP,0.48424
trec-covid,baseline,MTEB (Qwen3-8B),RR,1.0
trec-covid,baseline,MTEB (Qwen3-8B),P@10,0.974
trec-covid,baseline,MTEB (Qwen3-8B),nDCG@10,0.94991
webis-touche2020,bm25,BM25,AP,0.2293043528386612
webis-touche2020,bm25,BM25,RR,0.6002546108136171
webis-touche2020,bm25,BM25,P@10,0.2938775510204082
webis-touche2020,bm25,BM25,nDCG@10,0.322328192222113
webis-touche2020,bm25_hamming,BM25 + Hamming,AP,0.23827282840805245
